Alimento,Cantidad_sugerida,Unidad,Racion,Energia Total,Proteina Total,Lipidos Totales,Carbohidratos Totales,Colesterol Total,Sodio Total,CG Totales,Grupos
Apio cocido, 3/4,taza,2,40,1.8,0.4,9,0,0,1.4,Verduras
Cebolla blanca rebanada, 1/2,taza,2,46,1.2,0.2,10.8,0,0,1.6,Verduras
Soya cocida, 1/3,taza,4,392,37.6,20.4,22.4,0,2.4,4,Leguminosas
Cebolla cocida, 1/4,taza,2,46,1.4,0.2,10.6,0,0,1.6,Verduras
Cereza,20,pieza,2,112,1.8,0.4,29.4,0,0,6.5,Frutas
Calabacita alargada cruda,1,pieza,8,168,12.8,0.8,27.2,0,0,4.1,Verduras
Calabacita redonda cruda,1,pieza,8,144,11.2,0.8,23.2,0,0,3.5,Verduras
Cebollita de cambray sin raiz,3,pieza,8,184,10.4,0.8,42.4,0,0,6.4,Verduras
Queso panela,40,g,3,174,18.3,8.4,6,0,0,0,AOABG
Queso fresco,40,g,0.5,29,3,1.4,1,0,0,0,AOABG
Riñones de cerdo cocidos,28,g,0.5,21,3.5,0.7,0,67.2,11.2,0,AOAMBG
"Falafel, hecho en casa",20,g,2.5,167.5,6.8,8.8,16,0,0,0,Aceites y grasas con proteína
"Hummus, de garbanzo (1 cda)",20,g,3,201,8.1,10.5,19.2,0,0,0,Aceites y grasas con proteína
Aceite de oliva,1,Cucharadita,0.5,22,0,0.3,1.9,0,0,0,Aceites y grasas
Harina de trigo integral,2 1/2,cucharada,1,64,2.6,0.3,13.6,0,0.4,4.1,Cereales sin grasa
Leche entera baja en sodio,,,1.5,220.5,11.2,12.5,16,48.8,8.9,5,Leche entera
Total,-,-,48.5,2031,131.7,66.9,248.7,116,22.9,38.2,
