Escenario,(Varios elementos),,,,
,,,,,
Etiquetas de fila,Suma de Racion,,,Alimento,Conteo
Aceite de oliva,52.5,,,Aceite de oliva,52.5
Cebolla blanca rebanada,50,,,Cebolla blanca rebanada,50
Cebollita de cambray sin raiz,48,,,Cebollita de cambray sin raiz,48
Queso panela,41,,,Queso panela,41
Soya cocida,16,,,Soya cocida,16
Total general,207.5,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,Grupo,Ración
,,,,Aceites y grasas,13.125
,,,,Verduras,12.25
,,,,AOABG,10.25
,,,,Leguminosas,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,Macro,Valores
,,,,Suma de Carbohidratos Totales,890.2
,,,,Suma de Proteina Total,493.1
,,,,Suma de Lipidos Totales,243.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,Macro,Valores
,,,,Promedio de Carbohidratos Totales,44.51
,,,,Promedio de Proteina Total,24.655
,,,,Promedio de Lipidos Totales,12.155
